ticker,total_assets,total_revenue,net_income,long_term_debt,stockholders_equity,operating_income,cash_and_equivalents,public_float,employee_count,debt_to_assets,profit_margin,return_on_equity,log_total_assets,log_total_revenue,log_long_term_debt,log_cash_and_equivalents,log_public_float,log_stockholders_equity,log_employee_count
ADTN,525679000.0,530061000.0,-52982000.0,,446279000.0,-39963000.0,60161000.0,995597465.0,,,-0.09995453353481958,-0.11871945576646,20.0802013201564,20.088502654113793,,17.912534876430197,20.718853583255598,19.916454877181774,
ADTX,13096504.0,105034.0,-9149227.0,,-2852177.0,-8872209.0,10500826.0,32725168.0,,,-87.1072890683017,3.207804775089344,16.38785595868243,11.56204890692978,,16.166964573930958,17.30365503399442,-14.86359347091097,
ADUS,892582000.0,648791000.0,25237000.0,194872000.0,268491000.0,34752000.0,145078000.0,1364290000.0,,0.21832391869878623,0.038898505065575815,0.09399570190434689,20.609628945268703,20.290621190447336,19.08785349587165,18.792782093679143,21.03389998447304,19.408327955522847,
ADV,5777492000.0,3785063000.0,-21172000.0,2093075000.0,2421835000.0,213674000.0,184224000.0,3436600000.0,,0.36228089973988714,-0.005593566078028292,-0.008742131482945783,22.47723551560298,22.054328368611433,21.461900113977514,19.031662971885847,21.957748447767905,21.60779135465347,
ADVM,482567000.0,0.0,-117507000.0,,174957000.0,-117950000.0,62424000.0,320300000.0,,,,-0.6716336013992009,19.99463033127902,0.0,,17.949460390798215,19.58476861770146,18.980050793125063,
AEE,32030000000.0,5910000000.0,,13182000000.0,8938000000.0,1267000000.0,139000000.0,20481306104.0,,0.41155167030908524,,,24.1899388005987,22.499911668533624,23.3021180996528,18.749984498289212,23.742778409742403,22.913577687569553,
AEHR,20574000.0,21056000.0,-5235000.0,,14077000.0,-5000000.0,5428000.0,34124251.0,,,-0.24862272036474165,-0.3718832137529303,16.839538749278148,16.86269616059958,,15.507081484166799,17.345518891815246,16.46005288884796,
AEI,107713745.0,16238200.0,-5100318.0,,59971555.0,-2184738.0,,57049221.0,,,-0.31409380350038796,-0.08504561871040363,18.494987766294283,16.602877110699637,,,17.859424997018987,17.90938094111458,
AEIS,1647662000.0,788948000.0,64941000.0,322046000.0,814739000.0,54388000.0,480368000.0,4280072758.0,,0.19545634966394806,0.08231340975577604,0.07970773462421708,21.22262315091795,20.486210971695357,19.590204953553577,19.99006303687585,22.177235846161977,20.51837837574424,
AEP,75892300000.0,15561400000.0,,26725500000.0,20550900000.0,2592300000.0,392700000.0,42651294349.0,,0.35215034990374516,,,25.052581066939485,23.468059326006532,24.008884002793828,19.788556522094712,24.476323458606487,23.746170572598754,
AERI,402045000.0,69888000.0,-199581000.0,,227806000.0,-187492000.0,151570000.0,734874546.0,,,-2.8557263049450547,-0.8761007172769812,19.812074583104238,18.062404532955266,,18.83655812900545,20.415210358255138,19.24400495191396,
AES,33648000000.0,10189000000.0,303000000.0,,2634000000.0,,1089000000.0,17370000000.0,,,0.029737952694081853,0.11503416856492027,24.239219455936475,23.044574544036706,,20.808525681815507,23.578010417256994,21.69176944064715,
