ticker,business_word_count,business_sentence_count_full,business_avg_sentence_length,business_fk_grade,business_quant_density,risk_factors_word_count,risk_factors_sentence_count_full,risk_factors_avg_sentence_length,risk_factors_fk_grade,risk_factors_quant_density,mda_word_count,mda_sentence_count_full,mda_avg_sentence_length,mda_fk_grade,mda_quant_density,business_is_long,risk_factors_is_long,mda_is_long,mda_is_quantitative,total_word_count,mean_fk_grade
BX,6032,167,243.35329341317365,18.178046616265487,15.915119363395226,56310,1497,248.80761523046093,17.8017878083964,7.813887408985971,75956,1951,255.2793439261917,18.36048499594934,47.06672283953868,0,1,1,0,138298,18.113439806870407
BXP,11019,235,316.7744680851064,18.029869203231744,92.11362192576458,15900,347,296.72046109510086,22.684590940136236,7.169811320754717,44891,954,320.46331236897277,22.02881674015786,87.9909113185271,1,1,1,1,71810,20.914425627841947
CARR,3943,122,225.54918032786884,17.62317500170523,21.810803956378393,14616,295,331.02372881355933,18.486560412177287,10.741652983032294,7949,225,239.22222222222223,16.5053583956991,64.78802365077368,0,1,0,0,26508,17.538364603193873
CAT,5523,188,210.50531914893617,16.490193037445923,16.476552598225602,8394,236,240.45338983050848,18.67481600128139,6.075768406004289,15916,395,282.2,13.90808171230502,144.19452123649157,0,0,1,1,29833,16.357696917010777
CBRE,4956,143,245.08391608391608,16.166629869691445,25.221953188054883,10854,224,328.23660714285717,19.470295007543047,4.698728579325595,13167,297,301.1111111111111,12.946111588597201,101.2379433432065,0,0,1,1,28977,16.194345488610566
CCI,583,7,599.2857142857143,33.65577319587629,66.89536878216124,15516,388,268.3453608247423,18.069338276019355,23.653003351379223,16,2,54.5,14.646666666666672,62.5,0,1,0,0,16115,22.12392604618744
CCL,13030,418,211.62918660287082,17.49943238948013,23.254029163468918,6874,191,236.82722513089004,18.37598448769582,6.109979633401222,20946,651,216.321044546851,17.297419596110696,20.433495655495083,1,0,1,0,40850,17.724278824428882
CDAY,3881,190,136.5157894736842,15.59708914845794,41.226488018551926,12092,337,232.72106824925817,20.361069664949827,6.864042342044327,10963,327,216.07951070336392,11.676414037195276,98.51318069871385,0,0,1,1,26936,15.878190950201011
CDNS,6757,219,218.07305936073058,16.748767470730915,17.907355335207935,13088,275,317.70545454545453,19.850350252505326,5.27200488997555,7020,152,316.6513157894737,15.880205241107578,63.390313390313395,1,1,0,0,26865,17.493107654781273
CDW,1669,44,260.9318181818182,16.772838077364195,25.763930497303775,11837,235,340.9489361702128,19.35923821001609,12.925572357860943,7621,165,324.04242424242426,14.690568027036878,92.90119406901981,0,0,0,1,21127,16.940881438139055
CE,5159,182,211.65384615384616,16.64377211801163,14.925373134328359,16453,429,267.61072261072263,16.552681280456444,14.222330274114142,25017,624,280.74839743589746,16.601417783202063,35.37594435783667,0,1,1,0,46629,16.599290393890044
CF,7316,220,223.02272727272728,15.189798235071407,62.73920174958994,13523,319,283.7554858934169,18.031321677109393,9.835095762774532,38356,992,256.875,16.631878698303222,66.14349775784753,1,1,1,0,59195,16.617666203494675
CHD,7453,241,208.448132780083,17.305696952677213,17.442640547430564,12354,324,253.80246913580248,19.48744850479881,7.366035292213048,8680,266,210.02631578947367,11.93017291353561,78.11059907834101,1,0,0,1,28487,16.241106123670544
CHRW,8812,361,167.57340720221606,16.159584621298695,27.576032682705403,4206,144,195.41666666666666,16.77651070968707,4.755111745126011,6601,194,238.45876288659792,13.04741504854369,102.10574155430996,1,0,0,1,19619,15.327836793176486
CHTR,6880,161,288.7826086956522,19.121934419538302,15.843023255813955,62111,1119,445.828418230563,15.305115929487972,123.55299383362045,8449,235,245.17446808510638,15.273809501315466,114.21469996449284,1,1,0,1,77440,16.566953283447248
CINF,12581,426,204.42957746478874,14.81450605458409,56.275335823861376,7763,256,203.9296875,17.355376003089315,11.851088496715187,30100,931,219.48012889366274,15.944662898863548,111.39534883720931,1,0,1,1,50444,16.038181652178984
CMA,9819,249,273.2329317269076,18.61011162840359,26.581118240146655,8150,194,299.88659793814435,20.20888883526384,6.748466257668712,58,3,144.66666666666666,19.52344827586207,68.9655172413793,1,0,0,0,18027,19.4474829131765
CME,7951,274,197.02919708029196,16.303305665814836,25.908690730725695,9847,230,285.295652173913,19.891427754455204,4.976134863410176,9217,327,196.03975535168195,15.185989021571654,49.79928393186503,1,0,0,0,27015,17.126907480613898
CMG,2613,66,272.1515151515151,17.798527076667856,16.073478760045923,8461,198,287.04545454545456,20.3648158008678,6.500413662687626,4810,136,233.875,14.51725514351925,69.64656964656965,0,0,0,1,15884,17.560199340351634
CPRT,8574,241,237.86307053941908,16.1508049362653,12.479589456496385,10985,254,290.09842519685037,17.808489014816562,5.826126536185708,7783,174,306.5632183908046,13.93375575702797,75.42078889888218,1,0,0,1,27342,15.964349902703276
CSCO,1779,52,239.1153846153846,16.944954827780922,11.804384485666104,20955,579,247.34024179620033,17.516131748812942,8.017179670722978,10200,272,259.0367647058824,15.35603728695888,87.54901960784315,0,1,1,1,32934,16.60570795451758
CSX,1573,63,174.44444444444446,14.351116497139227,33.693579148124606,3548,85,290.84705882352944,18.662545160374197,9.582863585118377,16012,448,245.89285714285714,15.612236060566872,49.83762178366225,0,0,1,0,21133,16.208632572693432
CTAS,3216,104,214.07692307692307,16.656058770656163,24.875621890547265,4180,98,295.1734693877551,19.7008457465901,4.30622009569378,6894,207,226.42995169082127,12.915978596429309,81.95532346968379,0,0,0,1,14290,16.42429437122519
CTSH,6172,153,270.48366013071893,18.487232753050808,37.91315618924174,6802,145,310.8551724137931,21.856882001077825,8.08585710085269,50,2,178.0,15.454000000000004,80.0,0,0,0,1,13024,18.599371584709544
CTXS,5371,147,258.59183673469386,17.89822374925072,14.150065164773785,16710,349,323.8997134670487,22.041122275853088,7.4207061639736684,9372,222,284.9954954954955,15.346613201778307,81.83952198036705,0,1,0,1,31453,18.42865307562737
CZR,8970,236,258.97033898305085,17.230941140458032,23.74581939799331,10416,250,272.304,19.33705095940824,6.336405529953917,18061,420,286.37857142857143,15.528747276317585,82.83040806156913,1,0,1,1,37447,17.365579792061286
DFS,16365,509,222.47544204322202,16.193239411498478,15.643140849373665,15082,389,261.1413881748072,18.14132926575539,10.078238960350086,17441,399,300.78195488721803,15.329044742729312,106.47325268046556,1,1,1,1,48888,16.55453780666106
DG,3560,97,250.2680412371134,17.392017552526557,32.30337078651686,8074,158,352.95569620253167,23.06032748851113,5.449591280653951,9227,243,250.2633744855967,12.772844955777334,75.86431126043135,0,0,0,1,20861,17.74172999893834
DGX,17805,644,196.2251552795031,17.505243022725193,19.15192361696153,8208,242,232.5,18.041329425501086,9.137426900584796,19,2,62.5,11.093947368421052,105.26315789473684,1,0,0,1,26032,15.546839938882442
DHI,5586,157,257.0,18.444752934447425,21.482277121374867,8924,223,271.1793721973094,18.22337912494451,8.292245629762439,16021,375,288.84,10.769981026510774,105.1744585231883,0,0,1,1,30531,15.81270436196757
DIS,10725,262,290.8702290076336,18.007657358385917,26.200466200466202,8325,198,279.0050505050505,17.43424651187264,11.771771771771771,12477,236,368.4237288135593,16.916353183452596,84.07469744329566,1,0,1,1,31527,17.452752351237052
DISH,12311,396,209.25252525252526,16.739469174182386,23.96231012915279,15089,329,305.7963525835866,20.1765338030208,8.350453973092982,30051,685,296.1007299270073,20.16421583503764,40.298159795015145,1,1,1,0,57451,19.026739604080277
DLTR,2070,68,204.89705882352942,15.456390592568319,34.78260869565217,13809,360,256.35833333333335,16.982842105263163,17.742052284741835,22537,586,257.6689419795222,17.02024927341829,44.28273505790478,0,1,1,0,38416,16.48649399041659
